round_id,player_id,hole_id,shot_id,start_coords,end_coords,club,bearing,rating
1,1,1,1,"(51.60576426300037, -0.22007174187974488)","(51.6043541792184, -0.21967685157755043)",Driver,286.97378621432694,0.9135259699035461
1,1,1,2,"(51.6043541792184, -0.21967685157755043)","(51.60361200427612, -0.21943778579282192)",3-Wood,288.37559851716674,0.3838516323904464
1,1,1,3,"(51.60361200427612, -0.21943778579282192)","(51.60326660827766, -0.21930226574103226)",SW,289.0430844782842,0.44787571283242356
1,1,1,4,"(51.60326660827766, -0.21930226574103226)","(51.603053099989154, -0.21921779688040005)",SW,285.3362143693101,0.9837900960761083
2,1,1,1,"(51.60576426300037, -0.22007174187974488)","(51.604487264979, -0.219726778431117)",Driver,286.97378621432694,0.7714550292469309
2,1,1,2,"(51.604487264979, -0.219726778431117)","(51.60415918945065, -0.21961452931114755)",3-Wood,288.57879036997457,0.10529522168073964
2,1,1,3,"(51.60415918945065, -0.21961452931114755)","(51.60332582871486, -0.21929623718899569)",5-Iron,288.48813791301023,0.607348731455938
2,1,1,4,"(51.60332582871486, -0.21929623718899569)","(51.603117113205805, -0.2192588248281382)",SW,281.15611377692323,0.8763476470379747
3,1,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60446772022845, -0.21995189165176116)",3-Wood,286.97378621432694,0.6784391965008001
3,1,1,2,"(51.60446772022845, -0.21995189165176116)","(51.60352436540236, -0.2191599092686309)",3-Wood,296.47483086975876,0.6986415922954083
3,1,1,3,"(51.60352436540236, -0.2191599092686309)","(51.60318911443531, -0.2192175010486902)",SW,260.7603440525062,0.8377363177333125
3,1,1,4,"(51.60318911443531, -0.2192175010486902)","(51.60307761726743, -0.2192366363283608)",SW,261.8831196026479,0.8914624044397914
4,1,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60413097805254, -0.21954183076401604)",Driver,286.97378621432694,0.9846804499681207
4,1,1,2,"(51.60413097805254, -0.21954183076401604)","(51.60303537657337, -0.21951558969903437)",6-Iron,285.45860220332605,0.6850738582396052
4,1,1,3,"(51.60303537657337, -0.21951558969903437)","(51.60304430560193, -0.21921302468492485)",SW,0.28645589019220097,0.9988388059271037
5,1,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60461253252331, -0.21968984164527217)",3-Wood,286.97378621432694,0.9513167528389561
5,1,1,2,"(51.60461253252331, -0.21968984164527217)","(51.603959655530026, -0.2196612415438606)",3-Wood,285.9586220223267,0.1984464841657431
